INTID,hour,total_volume,los_score,LOS
2,2025-11-20 02:00:00,176.0,1,A
2,2025-11-20 03:00:00,261.0,1,A
2,2025-11-20 04:00:00,615.0,1,A
2,2025-11-20 05:00:00,955.0,1,A
2,2025-11-20 06:00:00,2075.0,1,A
2,2025-11-20 07:00:00,2509.0,2,B
2,2025-11-20 08:00:00,3089.0,2,B
2,2025-11-20 09:00:00,2804.0,2,B
2,2025-11-20 10:00:00,2763.0,2,B
2,2025-11-20 11:00:00,3017.0,2,B
2,2025-11-20 12:00:00,3182.0,2,B
2,2025-11-20 13:00:00,2918.0,2,B
2,2025-11-20 14:00:00,3434.0,2,B
2,2025-11-20 15:00:00,3905.0,3,C
2,2025-11-20 16:00:00,3211.0,2,B
2,2025-11-20 17:00:00,3136.0,2,B
2,2025-11-20 18:00:00,2944.0,2,B
2,2025-11-20 19:00:00,2133.0,1,A
2,2025-11-20 20:00:00,1668.0,1,A
2,2025-11-20 21:00:00,1257.0,1,A
2,2025-11-20 22:00:00,836.0,1,A
2,2025-11-20 23:00:00,533.0,1,A
2,2025-11-21 00:00:00,339.0,1,A
2,2025-11-21 01:00:00,251.0,1,A
2,2025-11-21 02:00:00,274.0,1,A
2,2025-11-21 03:00:00,274.0,1,A
2,2025-11-21 04:00:00,622.0,1,A
2,2025-11-21 05:00:00,912.0,1,A
2,2025-11-21 06:00:00,1917.0,1,A
2,2025-11-21 07:00:00,3418.0,3,C
2,2025-11-21 08:00:00,3348.0,2,B
2,2025-11-21 09:00:00,2959.0,2,B
2,2025-11-21 10:00:00,3147.0,2,B
2,2025-11-21 11:00:00,3432.0,2,B
2,2025-11-21 12:00:00,3702.0,3,C
2,2025-11-21 13:00:00,3575.0,2,B
2,2025-11-21 14:00:00,3787.0,3,C
2,2025-11-21 15:00:00,4295.0,3,C
2,2025-11-21 16:00:00,4221.0,3,C
2,2025-11-21 17:00:00,3772.0,2,B
2,2025-11-21 18:00:00,3165.0,2,B
2,2025-11-21 19:00:00,2302.0,1,A
2,2025-11-21 20:00:00,1769.0,1,A
2,2025-11-21 21:00:00,1489.0,1,A
2,2025-11-21 22:00:00,1037.0,1,A
2,2025-11-21 23:00:00,665.0,1,A
2,2025-11-22 00:00:00,364.0,1,A
2,2025-11-22 01:00:00,307.0,1,A
2,2025-11-22 02:00:00,212.0,1,A
2,2025-11-22 03:00:00,215.0,1,A
2,2025-11-22 04:00:00,401.0,1,A
2,2025-11-22 05:00:00,436.0,1,A
2,2025-11-22 06:00:00,772.0,1,A
2,2025-11-22 07:00:00,1307.0,1,A
2,2025-11-22 08:00:00,2033.0,1,A
2,2025-11-22 09:00:00,2701.0,2,B
2,2025-11-22 10:00:00,3051.0,2,B
2,2025-11-22 11:00:00,3368.0,2,B
2,2025-11-22 12:00:00,3366.0,2,B
2,2025-11-22 13:00:00,3228.0,2,B
2,2025-11-22 14:00:00,3005.0,2,B
2,2025-11-22 15:00:00,2858.0,2,B
2,2025-11-22 16:00:00,3035.0,2,B
2,2025-11-22 17:00:00,2763.0,2,B
2,2025-11-22 18:00:00,2268.0,1,A
2,2025-11-22 19:00:00,1851.0,1,A
2,2025-11-22 20:00:00,1635.0,1,A
2,2025-11-22 21:00:00,1265.0,1,A
2,2025-11-22 22:00:00,932.0,1,A
2,2025-11-22 23:00:00,606.0,1,A
3,2025-11-16 00:00:00,665.0,1,A
3,2025-11-16 01:00:00,394.0,1,A
3,2025-11-16 02:00:00,238.0,1,A
3,2025-11-16 03:00:00,163.0,1,A
3,2025-11-16 04:00:00,154.0,1,A
3,2025-11-16 05:00:00,264.0,1,A
3,2025-11-16 06:00:00,328.0,1,A
3,2025-11-16 07:00:00,578.0,1,A
3,2025-11-16 08:00:00,927.0,1,A
3,2025-11-16 09:00:00,1685.0,1,A
3,2025-11-16 10:00:00,2228.0,1,A
3,2025-11-16 11:00:00,2593.0,2,B
3,2025-11-16 12:00:00,2701.0,2,B
3,2025-11-16 13:00:00,2958.0,2,B
3,2025-11-16 14:00:00,2868.0,2,B
3,2025-11-16 15:00:00,2891.0,2,B
3,2025-11-16 16:00:00,2950.0,2,B
3,2025-11-16 17:00:00,2819.0,2,B
3,2025-11-16 18:00:00,3068.0,2,B
3,2025-11-16 19:00:00,2865.0,2,B
3,2025-11-16 20:00:00,2246.0,2,B
3,2025-11-16 21:00:00,1752.0,1,A
3,2025-11-16 22:00:00,1148.0,1,A
3,2025-11-16 23:00:00,715.0,1,A
3,2025-11-17 00:00:00,369.0,1,A
3,2025-11-17 01:00:00,161.0,1,A
3,2025-11-17 02:00:00,104.0,1,A
3,2025-11-17 03:00:00,92.0,1,A
3,2025-11-17 04:00:00,177.0,1,A
3,2025-11-17 05:00:00,442.0,1,A
3,2025-11-17 06:00:00,1060.0,1,A
3,2025-11-17 07:00:00,2283.0,2,B
3,2025-11-17 08:00:00,2948.0,2,B
3,2025-11-17 09:00:00,2631.0,2,B
3,2025-11-17 10:00:00,2539.0,2,B
3,2025-11-17 11:00:00,2648.0,2,B
3,2025-11-17 12:00:00,2517.0,2,B
3,2025-11-17 13:00:00,2599.0,2,B
3,2025-11-17 14:00:00,2590.0,2,B
3,2025-11-17 15:00:00,3017.0,2,B
3,2025-11-17 16:00:00,3114.0,2,B
3,2025-11-17 17:00:00,3098.0,2,B
3,2025-11-17 18:00:00,3547.0,2,B
3,2025-11-17 19:00:00,3509.0,2,B
3,2025-11-17 20:00:00,2551.0,2,B
3,2025-11-17 21:00:00,2023.0,1,A
3,2025-11-17 22:00:00,1260.0,1,A
3,2025-11-17 23:00:00,865.0,1,A
3,2025-11-18 00:00:00,333.0,1,A
3,2025-11-18 01:00:00,198.0,1,A
3,2025-11-18 02:00:00,177.0,1,A
3,2025-11-18 03:00:00,116.0,1,A
3,2025-11-18 04:00:00,188.0,1,A
3,2025-11-18 05:00:00,482.0,1,A
3,2025-11-18 06:00:00,1069.0,1,A
3,2025-11-18 07:00:00,2544.0,2,B
3,2025-11-18 08:00:00,2865.0,2,B
3,2025-11-18 09:00:00,2966.0,2,B
3,2025-11-18 10:00:00,2754.0,2,B
3,2025-11-18 11:00:00,2474.0,2,B
3,2025-11-18 12:00:00,2472.0,2,B
3,2025-11-18 13:00:00,2623.0,2,B
3,2025-11-18 14:00:00,2820.0,2,B
3,2025-11-18 15:00:00,3078.0,2,B
